"","effect","b.lab","b.parm","b","ci.lb","ci.ub","pval","tau","I2","QEp","AICc"
"12","Latency last trial log(Ratio of mean)x100","Overall minus Cheng et al. 2009","intrcpt",25.1185162532762,19.2430944750348,30.9939380315177,5.32845708362926e-17,5.0276975431633,27.2618803452939,0.23767742789499,94.831206458622
"13","Latency last trial log(Ratio of mean)x100","Overall minus Fischer et al. 2008","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"14","Latency last trial log(Ratio of mean)x100","Overall minus Zhao et al. 2014","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"15","Latency last trial log(Ratio of mean)x100","Trend in log10(dose)","log10(dose)",5.73687830281165,-2.15709209260215,13.6308486982254,0.154334253680272,3.41225492508792,14.578810170314,0.382526504263915,96.4902563083725
"16","Latency last trial log(Ratio of mean)x100","Linear in dose10","dose10",9.60624623042669,3.78916459337352,15.4233278674799,0.00120938778912693,17.1186208430834,81.589142631878,8.7639476741728e-10,116.495127472793
"17","Latency last trial log(Ratio of mean)x100","LinearQuadratic in dose10","dose10",28.0653831523439,11.2206854410334,44.9100808636544,0.00109253145227268,13.9188386224093,72.3329430724818,9.80074978346668e-05,108.356958986023
"18","Latency last trial log(Ratio of mean)x100","LinearQuadratic in dose10","I(dose10^2)",-4.4503907120109,-8.29756786921715,-0.603213554804665,0.0233734805063624,13.9188386224093,72.3329430724818,9.80074978346668e-05,108.356958986023
"19","Latency last trial log(Ratio of mean)x100","Highest Doses-Overall","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"20","Latency last trial log(Ratio of mean)x100","Overall minus Bowers et al. 2015","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"21","Latency last trial log(Ratio of mean)x100","Overall minus Viberg et al. 2003","intrcpt",32.9062459810893,26.5516803120944,39.2608116500843,3.33391714062514e-24,0.00207969070700609,5.1948567669342e-06,0.532540254920736,50.6736440478229
"22","Latency last trial log(Ratio of mean)x100","Overall minus Viberg et al. 2006","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"23","Latency last trial log(Ratio of mean)x100","Overall minus Buratovic et al. 2014","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"24","Latency last trial log(Ratio of mean)x100","Overall minus Chen et al. 2014","intrcpt",32.3906491485507,24.9204026406725,39.860895656429,1.92363003385271e-17,0.000384326999273213,9.48595062976028e-08,0.541871614480747,52.83268968146
"25","Latency last trial log(Ratio of mean)x100","Overall minus Verma et al. 2013","intrcpt",32.6746805562587,26.3759846878489,38.9733764246685,2.77283177624299e-24,0.00087804242745476,9.60850445605169e-07,0.73221559169155,47.9384334434368
"26","Latency last trial log(Ratio of mean)x100","Overall minus Eriksson et al. 2001","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"27","Latency last trial log(Ratio of mean)x100","Overall minus He et al. 2011","intrcpt",33.3426204431221,24.5461532238412,42.1390876624029,1.09292037562639e-13,0.00155652614670699,1.36618991890609e-06,0.533605779267786,53.0783691374916
"28","Latency last trial log(Ratio of mean)x100","Overall minus Woods et al. 2012","intrcpt",33.3233032247652,26.9495344198298,39.6970720297006,1.21981538416192e-24,0.000558630766640255,4.62343695543897e-07,0.844767450462796,45.1790338873808
"29","Latency last trial log(Ratio of mean)x100","Overall minus Blanco et al. 2013","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"30","Latency last trial log(Ratio of mean)x100","Overall minus Cheng et al. 2009","intrcpt",33.1297518923352,26.277529736264,39.9819740484065,2.63677674193244e-21,0.00177128363709919,2.75610527984508e-06,0.533733781906788,52.4556548127621
"31","Latency last trial log(Ratio of mean)x100","Overall minus Fischer et al. 2008","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"32","Latency last trial log(Ratio of mean)x100","Overall minus Zhao et al. 2014","intrcpt",32.9503541578538,26.6690349005826,39.231673415125,8.53707725087456e-25,0.00123974217653744,1.61480719820047e-06,0.659605442163944,56.4936766670252
"33","Latency last trial log(Ratio of mean)x100","Highest Doses-Linear in dose10","dose10",10.0084541845844,0.0638530718600414,19.9530552973088,0.0485470055401617,26.0362344543111,88.45164281332,2.79187854822723e-09,67.9348526637707
"34","Latency last trial log(Ratio of mean)x100","Highest Doses-Trend in log10(dose)","log10(dose)",3.40203700736872,-6.47345373721026,13.2775277519477,0.499552652541536,0.00179764778480985,3.20853366552914e-06,0.597790965519961,70.6122540281875
"35","Latency last trial log(Ratio of mean)x100","Highest Doses-LinearQuadratic in dose10","dose10",48.5571553538307,17.0332624602,80.0810482474615,0.00253620010639544,15.9884851136766,55.5604782420112,0.0235840937449746,76.7868738079105
"36","Latency last trial log(Ratio of mean)x100","Highest Doses-LinearQuadratic in dose10","I(dose10^2)",-8.33550307263898,-14.8656841531893,-1.80532199208862,0.0123559495107264,15.9884851136766,55.5604782420112,0.0235840937449746,76.7868738079105
