study id	study name	study identifier	study published	study population id	study population name	study population age profile	study population source	design	outcome id	outcome name	outcome.mean	outcome system	outcome effect	outcome effect subtype	diagnostic	age of outcome measurement	comparison set id	comparison set name	phthalate	exposure id	exposure name	exposure metric	exposure measured	dose units	exposure.median.or.gm	age of exposure	result id	result name	result population description	statistical metric	statistical metric abbreviation	statistical metric description	result summary	dose response	statistical power	CI units	exposure group order	exposure group name	exposure group comparison name	exposure group numeric	key	result group id	N	estimate	lower CI	upper CI	variance	statistical significance	statistical significance (numeric)	main finding	main finding support
173430	Swan et al. 2015		FALSE	852	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24250	AGD (ap)	49.66	male reproductive system	AGD		medical professional or test	birth or soon after	2201	continuous MBP (log transformed)	DBP	1290	MnBP (DBP metabolite)	maternal urine (trimester 1)	MnBP	ng/mL		in utero	5180	AGDap:MBP	males	adjusted beta	adjβ	multivariable linear regression		not-applicable	not reported or calculated	0.95	0	continuous			12832	12832	366	-0.78	-2.08	0.51		0.235	0.235	FALSE	not-reported
173430	Swan et al. 2015		FALSE	852	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24249	AGD (as)	24.73	male reproductive system	AGD		medical professional or test	birth or soon after	2201	continuous MBP (log transformed)	DBP	1290	MnBP (DBP metabolite)	maternal urine (trimester 1)	MnBP	ng/mL		in utero	5151	AGDas:MBP	males	adjusted beta	adjβ	multivariable linear regression		not-applicable	not reported or calculated	0.95	0	continuous			12785	12785	366	-0.91	-2.02	0.2		0.108	0.108	FALSE	not-reported
173433	Jensen et al. 2016		FALSE	846	Odense child cohort	pregnant women and their children	general population	Cohort (Prospective)	24224	AGD (ap)	70.2	male reproductive system	AGD		medical professional or test	3 months	2281	continuous MnBP (Log-transformed)	DBP	1237	MnBP (DnBP metabolite)	maternal urine	MnBP	ng/mL		in utero	5323	AGDap:MnBP continuous log		adjusted beta	adjβ	adjusted linear regression model (expressing the change in mm)	"ORIGINAL DATA: 
Group	Estimate	95% confidence intervals	p-value
continuous	-0.27	-1.1 - 0.56	-"	not-applicable	not reported or calculated	0.95	0	continuous			13209	13209	236	-0.62	-2.53	1.29		-		FALSE	not-reported
173433	Jensen et al. 2016		FALSE	846	Odense child cohort	pregnant women and their children	general population	Cohort (Prospective)	24223	AGD (as)	36.9	male reproductive system	AGD		medical professional or test	3 months	2281	continuous MnBP (Log-transformed)	DBP	1237	MnBP (DnBP metabolite)	maternal urine	MnBP	ng/mL		in utero	5318	AGDas:MnBP continuous log		adjusted beta	adjβ	adjusted linear regression model (change in mm)	"ORIGINAL DATA: 
Group	Estimate	95% confidence intervals	p-value
continuous	-0.13	-0.89 - 0.63"	not-applicable	not reported or calculated	0.95	0	continuous			13204	13204	245	-0.3	-2.05	1.45		-		FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2103	continuous 5carboxy-MEPP (log transformed)	DEHP	1210	5carboxy-MEPP (DEHP metabolite)	maternal urine	5cx-MEPP	ng/mL	14.53	in utero	4987	AGDap:5carboxy-MEPP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12462	12462	196	-0.64	-3.69	2.4		0.677	0.677	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2103	continuous 5carboxy-MEPP (log transformed)	DEHP	1210	5carboxy-MEPP (DEHP metabolite)	maternal urine	5cx-MEPP	ng/mL	14.53	in utero	4967	AGDas:5carboxy-MEPP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12442	12442	196	-0.89	-3.69	1.92		0.534	0.534	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2101	continuous 5OH-MEHP (log transformed)	DEHP	1208	5OH-MEHP (DEHP metabolite)	maternal urine	5OH-MEHP	ng/mL	15.28	in utero	4983	AGDap:5OH-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12458	12458	196	-1.5	-4.5	1.49		0.324	0.324	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2101	continuous 5OH-MEHP (log transformed)	DEHP	1208	5OH-MEHP (DEHP metabolite)	maternal urine	5OH-MEHP	ng/mL	15.28	in utero	4965	AGDas:5OH-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12440	12440	196	-1.24	-3.99	1.51		0.374	0.374	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2102	continuous 5oxo-MEHP (log transformed)	DEHP	1209	5oxo-MEHP (DEHP metabolite)	maternal urine	5oxo-MEHP	ng/mL	9.99	in utero	4984	AGDap:5oxo-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12459	12459	196	-1.25	-4.19	1.7		0.406	0.406	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2102	continuous 5oxo-MEHP (log transformed)	DEHP	1209	5oxo-MEHP (DEHP metabolite)	maternal urine	5oxo-MEHP	ng/mL	9.99	in utero	4966	AGDas:5oxo-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12441	12441	196	-0.77	-3.48	1.94		0.576	0.576	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2100	continuous MEHP (log transformed)	DEHP	1207	MEHP (DEHP metabolite)	maternal urine	MEHP	ng/mL	3.3	in utero	4982	AGDap:MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12457	12457	196	-1.74	-4.43	0.95		0.203	0.203	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2100	continuous MEHP (log transformed)	DEHP	1207	MEHP (DEHP metabolite)	maternal urine	MEHP	ng/mL	3.3	in utero	4964	AGDas:MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12439	12439	196	-1.28	-3.74	1.17		0.304	0.304	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2104	continuous sum DEHP metabolites (log transformed)	DEHP	1211	sum DEHP metabolites	maternal urine	4 DEHP metabolites	nmol/l	148.13	in utero	4989	AGDap:sum DEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12464	12464	196	-1.39	-4.49	1.7		0.375	0.375	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2104	continuous sum DEHP metabolites (log transformed)	DEHP	1211	sum DEHP metabolites	maternal urine	4 DEHP metabolites	nmol/l	148.13	in utero	4968	AGDas:sum DEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12443	12443	196	-1.16	-4.01	1.68		0.42	0.42	FALSE	not-reported
181920	Bustamante-Montes et al. 2013		FALSE	842	hospital-based cohort of pregnant women	pregnant women and their children	general population	Cohort (Prospective)	24161	AGD (ap)	48.1	male reproductive system	AGD		medical professional or test	24-48 hr after birth	2285	continuous MEHP - log	DEHP	1216	MEHP (DEHP metabolite)	maternal urine	4 primary phthalate metabolites: MEHP, MBzP, MEP, and MBP	ug/L	2.75862069	in utero	5328	AGD (penis anterior base) MEHP - log		adjusted beta	adjβ	linear regression model	New beta = original beta = -0.0252 mm/ug/L * 4 ug/L (mean) *ln(10) = -0.232	not-applicable	not reported or calculated	0.95	0	continuous			13214	13214	73	-0.232	-2.484235418	2.020235418		0.84	0.84	FALSE	not-reported
181920	Bustamante-Montes et al. 2013		FALSE	842	hospital-based cohort of pregnant women	pregnant women and their children	general population	Cohort (Prospective)	24164	AGD (as)	12.4	male reproductive system	AGD		medical professional or test	24-48 hr after birth	2285	continuous MEHP - log	DEHP	1216	MEHP (DEHP metabolite)	maternal urine	4 primary phthalate metabolites: MEHP, MBzP, MEP, and MBP	ug/L	2.75862069	in utero	5330	AGD (anoscrotal) MEHP log		adjusted beta	adjβ	linear regression model	New beta = original beta = -0.0049 mm/ug/L * 4 ug/L (mean) *ln(10) = -0.045	not-applicable	not reported or calculated	0.95	0	continuous			13216	13216	73	-0.045	-1.27854757	1.18854757		0.943	0.943	FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2184	continuous 5carboxy-MEPP T2 (log10 SG adjusted)	DEHP	1266	5carboxy-MEPP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	8.51		5139	AGD (ap) MECCP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12773	12773	167	1.11	-0.84	3.07		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2184	continuous 5carboxy-MEPP T2 (log10 SG adjusted)	DEHP	1266	5carboxy-MEPP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	8.51		5127	AGD (as) MECCP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12761	12761	168	-0.19	-1.77	1.39		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2185	continuous 5carboxy-MEPP T3 (log10 SG adjusted)	DEHP	1267	5carboxy-MEPP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	9.55		5140	AGD (ap) MECCP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12774	12774	167	-0.54	-2.52	1.43		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2185	continuous 5carboxy-MEPP T3 (log10 SG adjusted)	DEHP	1267	5carboxy-MEPP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	9.55		5128	AGD (as) MECCP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12762	12762	168	0.26	-1.34	1.86		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2188	continuous 5OH-MEHP T2 (log10 SG adjusted)	DEHP	1264	5OH-MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.81		5137	AGD (ap) 5OH-MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12771	12771	167	1.18	-0.5	2.86		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2188	continuous 5OH-MEHP T2 (log10 SG adjusted)	DEHP	1264	5OH-MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.81		5125	AGD (as) 5OH-MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12759	12759	168	-0.02	-1.39	1.34		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2189	continuous 5OH-MEHP T3 (log10 SG adjusted)	DEHP	1265	5OH-MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.92		5138	AGD (ap) 5OH-MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12772	12772	167	-0.11	-1.86	1.62		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2189	continuous 5OH-MEHP T3 (log10 SG adjusted)	DEHP	1265	5OH-MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.92		5126	AGD (as) 5OH-MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12760	12760	168	0.36	-1.04	1.77		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2186	continuous 5oxo-MEHP T2 (log10 SG adjusted)	DEHP	1262	5oxo-MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	3.86		5135	AGD (ap) 5oxo-MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12769	12769	167	1.5	-0.26	3.28		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2186	continuous 5oxo-MEHP T2 (log10 SG adjusted)	DEHP	1262	5oxo-MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	3.86		5123	AGD (as) 5oxo-MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12757	12757	168	0.05	-1.39	1.49		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2187	continuous 5oxo-MEHP T3 (log10 SG adjusted)	DEHP	1263	5oxo-MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.28		5136	AGD (ap) 5oxo-MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12770	12770	167	-0.01	-1.8	1.78		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2187	continuous 5oxo-MEHP T3 (log10 SG adjusted)	DEHP	1263	5oxo-MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	4.28		5124	AGD (as) 5oxo-MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12758	12758	168	0.42	-1.02	1.87		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2180	continuous MEHP T2 (log10 SG adjusted)	DEHP	1256	MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	1.41		5133	AGD (ap) MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12767	12767	167	0.34	-1.49	2.18		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2180	continuous MEHP T2 (log10 SG adjusted)	DEHP	1256	MEHP (DEHP metabolite) T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	1.41		5121	AGD (as) MEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12755	12755	168	-0.47	-1.95	1		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2181	continuous MEHP T3 (log10 SG adjusted)	DEHP	1259	MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	1.33		5134	AGD (ap) MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12768	12768	167	-0.58	-2.41	1.25		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2181	continuous MEHP T3 (log10 SG adjusted)	DEHP	1259	MEHP (DEHP metabolite) T3	maternal urine (trimester 3)	4 DEHP metabolites and 7 other phthalate metabolites	ng/mL	1.33		5122	AGD (as) MEHP T3		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12756	12756	168	0.41	-1.07	1.89		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24229	AGD (ap)	49.18	male reproductive system	AGD		medical professional or test	newborn	2182	continuous sum DEHP T2 (log10 SG adjusted)	DEHP	1268	sum DEHP T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	nmol/l	64.43		5131	AGD (ap) sum DEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12765	12765	167	1.28	-0.64	3.2		-		FALSE	not-reported
173434	Martino-Andrade et al. 2016		FALSE	848	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24228	AGD (as)	24.87	male reproductive system	AGD		medical professional or test	newborn	2182	continuous sum DEHP T2 (log10 SG adjusted)	DEHP	1268	sum DEHP T2	maternal urine (trimester 2)	4 DEHP metabolites and 7 other phthalate metabolites	nmol/l	64.43		5129	AGD (as) sum DEHP T2		adjusted beta	adjβ	multivariable linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12763	12763	168	-0.15	-1.7	1.41		-		FALSE	not-reported
